UNIQUE INTERNAL CODE,UPC (UNIVERSAL PRODUCT CODE),PRODUCT NAME,PRODUCT DESCRIPTION,PRODUCT PRICE,PRODUCT URL,IMAGE URL,CATEGORY,MANUFACTURER,STOCK STATUS,CONDITION (IF NOT NEW),MPN (MANUFACTURER PART NUMBER),PAYMENT TYPE,KEYWORDS,MSRP,SALE PRICE,GENDER,DEPARTMENT,SHIPPING COST,SIZE,SHIPPING WEIGHT,COLOR,PROMOTIONAL MESSAGE,ZIP CODE,CURRENCY,Item Group ID,Google Age Group,custom label 0
126359,605284002940,Smartwool Trekking Heavy Crew Socks - Taupe,When the terrain gets heavy you`ll be glad to sport these fully cushioned trekking socks. Heavy full-cushioning provides shock absorption offers insulation against the elements and supports under weighty loads. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,18.99,https://www.bobwards.com/smartwool-trekking-heavy-crew-socks-367?color=TAUPE&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/s_SW131(10131)_236_14.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW131,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Trekking, Heavy, Crew, Socks,SW131,10-131",20.95,18.99,m,FOOTWEAR,,S,0.5,Taupe,Same Day Shipping,59801,USD,367,Adult,0-49
1719,605284000151,Smartwool Hiking Medium Crew Socks - Grey,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=GREY&size=XL,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_grey_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,XL,0.5,Grey,Same Day Shipping,59801,USD,365,Adult,0-49
201115,605284002728,Smartwool Hiking Light Crew Socks - Gray,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=GRAY&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_gray.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,L,0.5,Gray,Same Day Shipping,59801,USD,364,Adult,0-49
201138,605284204979,Smartwool Trekking Heavy Crew Socks - Loden,When the terrain gets heavy you`ll be glad to sport these fully cushioned trekking socks. Heavy full-cushioning provides shock absorption offers insulation against the elements and supports under weighty loads. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,18.99,https://www.bobwards.com/smartwool-trekking-heavy-crew-socks-367?color=LODEN&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/smatw_sw131_031_12.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW131,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Trekking, Heavy, Crew, Socks,SW131,10-131",20.95,18.99,m,FOOTWEAR,,M,0.5,Loden,Same Day Shipping,59801,USD,367,Adult,0-49
126399,605284025031,Smartwool Youth Hiking Light Crew - Taupe Marl,Because it`s easy for kids to rack up the miles on their feet Smartwool`s created a miniature version of the popular Light Hiking sock. With a half-cushion sole kids can slip these on during summer and winter alike. The perfect all-purpose sock for kids.,7.99,https://www.bobwards.com/smartwool-youth-hiking-light-crew-392?color=TAUPE%20MARL&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW191_taupemarl.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW191,"Visa, MasterCard, AmericanExpress, Discover","smartwool, kid's, hiking, light, crew, sock, SW191",10.95,7.99,u,FOOTWEAR,,M,0.5,Taupe Marl,Same Day Shipping,59801,USD,392,Kids,0-49
713057,605284084786,Smartwool Youth Hiking Light Crew - Gray / Red,Because it`s easy for kids to rack up the miles on their feet Smartwool`s created a miniature version of the popular Light Hiking sock. With a half-cushion sole kids can slip these on during summer and winter alike. The perfect all-purpose sock for kids.,7.99,https://www.bobwards.com/smartwool-youth-hiking-light-crew-392?color=GRAY%2FRED&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/smatw_sw191_039_12.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW191,"Visa, MasterCard, AmericanExpress, Discover","smartwool, kid's, hiking, light, crew, sock, SW191",10.95,7.99,u,FOOTWEAR,,S,0.5,Gray / Red,Same Day Shipping,59801,USD,392,Kids,0-49
143067,605284001479,Smartwool Hiking Medium Crew Socks - Sage,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=SAGE&size=XL,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/sw_sw130_sage_13.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,XL,0.5,Sage,Same Day Shipping,59801,USD,365,Adult,0-49
1802,605284084854,Smartwool Kid's Hike Medium Crew Sock - Sage / Black,Taking two steps for every grown up`s one step kids try hard enough when it comes to exploring the great outdoors. A smaller version of Smartwool`s timeless classic the Hiking Medium Crew the Kid`s Hike does not fall short on the big-time comfort of our adult version. With soft luxurious SmartWool next to their skin and four color choices your kids` feet will be ready to go even if they`re not.,10.99,https://www.bobwards.com/smartwool-kids-hike-medium-crew-sock-394?color=SAGE%20%2F%20BLACK&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/smrtwool_10190_sageblk_10.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW190,"Visa, MasterCard, AmericanExpress, Discover","smartwool, kid's, hike, medium, crew, sock, SW190",11.95,10.99,u,FOOTWEAR,,M,1,Sage / Black,Same Day Shipping,59801,USD,394,Kids,0-49
1986,799756700516,Granger's G Tec Conditioner - White,G-Tec Conditioner nourishes and conditions all leather. It preserves the supple nature of the leather thus extending the life of the footwear. Conditioner for Footwear softens the leather just enough to help break in new boots. It is compatible with Gore-Tex and all other waterproof / breathable footwear. It is the only conditioner in North America to carry the W.L. Gore seal of approval.,6.99,https://www.bobwards.com/grangers-g-tec-conditioner-446?color=WHITE,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/75608-DEFAULT-l.jpg,FOOTWEAR>ACCESSORIES,Granger's,Y,New,G3182,"Visa, MasterCard, AmericanExpress, Discover","Granger's, G, Tec, Conditioner,G3182",8,6.99,u,FOOTWEAR,,,1,White,Same Day Shipping,59801,USD,446,Adult,0-49
1712,605284002810,Smartwool Hiking Light Crew Socks - Taupe,An arch brace holds the sock in place and adds additional support while a flat-knit toe seam keeps you comfortable throughout the day. Perfect for moderate hiking or aggressive walking.,16.99,https://www.bobwards.com/smartwool-hiking-light-crew-socks-364?color=TAUPE&size=XL,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/SW129_taupe.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW129,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Light, Crew, Socks,SW129,taupe,black",17.95,16.99,m,FOOTWEAR,,XL,0.5,Taupe,Same Day Shipping,59801,USD,364,Adult,0-49
