product_type	google_product_category
FOOTWEAR>KIDS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Baby & Toddler Shoes
FOOTWEAR>MENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
SKIS AND SKI EQUIPMENT>TRAVEL GEAR AND BAGS	Sporting Goods > Winter Sports > Downhill Skiing > Ski Bags
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
HUNTING>GAME CALLS>DEER CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>MENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
HUNTING>GAME CALLS>ELK CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
HUNTING>GAME CALLS>ELK CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
HUNTING>GAME CALLS>DEER CALLS	Sporting Goods > Outdoor Recreation > Hunting > Hunting Calls
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Activewear > Hunting Clothing
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories>Shoes
CAMPING GEAR>SLEEPING PADS AND MATTRESSES>ACCESSORIES	Sporting Goods>Outdoor Recreation>Camping & Hiking>Sleeping Pads
SPORTS GEAR>FITNESS>BOXING	Sporting Goods > Exercise & Fitness
WOMENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
SPORTS GEAR>DISC GOLF>ACCESSORIES	Sporting Goods
SPORTS GEAR>RACQUET SPORTS>TABLE TENNIS	Sporting Goods > Racquet Sports
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories>Shoes>Boots>Snow Boots
WOMENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
WOMENS CLOTHING>JACKETS AND VESTS	Apparel & Accessories > Clothing > Outerwear
WOMENS CLOTHING>JACKETS AND VESTS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Boleros
WOMENS CLOTHING>JACKETS AND VESTS>INSULATED JACKETS	Apparel & Accessories > Clothing > Outerwear
WOMENS CLOTHING>PANTS AND SHORTS>TRAIL AND CASUAL SHORTS	Apparel & Accessories > Clothing > Shorts
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
MENS CLOTHING>JACKETS AND VESTS>INSULATED JACKETS	Apparel & Accessories > Clothing > Outerwear
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
KIDS CLOTHING>WINTER SUITS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories>Shoes
